modern,original
then when someone asks you where all your beauty is,then being asked where all thy beauty lies
"Yes , kind sister .","Kind sister , thanks ."
An excellent motion .,O excellent motion !
and good itself made a prisoner and servant of evil,and captive good attending captain ill
My dream told me that dreamers often lie .,That dreamers often lie .
but you are all of my art and you advance,but thou art all my art and dost advance
Right now ?,Presently ?
"I tell you I requested that your master cut out the gown , but I didn't ask him to cut it all to pieces .","I say unto thee , I bid thy master cutout the gown , but I did not bid him cut it to pieces ."
"Come with me , and let's smother my fiendish son , who smothered your two sweet sons , in bitter words .","Go with me , And in the breath of bitter words let's smother My damned son that thy two sweet sons smothered ."
"Hello , my friends !","How now , my hearts !"
desire which my doctor forbade me is indeed deadly,desire is death which physic did except
She's the reason I'm here .,"I mean , she is the list of my voyage ."
those flaws that you have are also,so are those errors that in thee are seen
"If he struggles , use force !","If he do resist , Subdue him at his peril !"
I've told you .,Tis figured in my tongue .
"Who , me ?","Who , I ?"
Put out your torches .,Put your torches out .
"As freely , son , as God gave her to me .","As freely , son , as God did give her me ."
Isn't he a horrible man ?,Is he not a most profane and liberal counselor ?
Wait good Nurse .,"And stay , good Nurse ."
"Oh , gods , give me patience !","But , for true need , You heavens , give me that patience , patience I need ."
"Your grave is gaping open , and your death is near .","O braggart vile and damned furious wight , The grave doth gape , and doting death is near ."
Then my love is humble .,My affections Are then most humble .
I'll go to him .,I'll come to him .
"In fact , I'd do even more to him than what you've heard him promise to do .","One , sir , that for his love dares yet do more Than you have heard him brag to you he will ."
Don't you have any sense at all ?,Have you a soul or sense ?
What time is it ?,What is 't o'clock ?
"Well , then , help me .","Well then , sustain me ."
Go ahead .,"I say , remember ."
"Shame of what , lady ?","Of what , lady ?"
I'll look over the inscriptions again .,I will survey th ' inscriptions back again .
they look into the beauty of your mind,they look into the beauty of thy mind
"My lord , what are you talking about ?",What means your lordship ?
"But don't be afraid , Cesario .","Fear not , Cesario ."
Now my sin has been taken from my lips by yours .,"Thus from my lips , by thine , my sin is purged ."
"The question is , how would being king change him ?","How that might change his nature , there's the question ."
Go blabber with your gossiping friends .,"Smatter with your gossips , go ."
"Yes , if your memories do you no good .","Ay , if your self's remembrance wrong yourself ."
There's a nicer piece of work right here .,Here's metal more attractive .
Here comes Lorenzo .,Here comes Lorenzo .
"Conscience , "" I say , ""you give good advice."" ""Devil , "" I say , ""you give good advice."" If I listened to my conscience , I'd stay with the Jew my master , who's a devil .","Conscience , "" say I , ""you counsel well."" ""Fiend , "" say I , ""you counsel well."" To be ruled by my conscience I should stay with the Jew my master , who , God bless the mark , is a kind of devil ."
"What , are we having a feast ?","What , a feast , a feast ?"
She is banished .,She is banished .
"If it pleases you , your highness , will you lead us all inside ?",Please it your Grace lead on ?
Goddammit !,God's bread !
Please give me a little credit !,Prithee bear some charity to my wit .
You suffered a loss like mine ?,You the like loss ?
I'll be a harsh master to them .,I will show myself a tyrant .
I never talked with her in my life .,I never spake with her in all my life .
Among the ten thousand the French have lost only sixteen hundred are mercenaries .,"So that in these ten thousand they have lost , There are but sixteen hundred mercenaries ."
however beauty wasted is lost to the world,but beauty's waste hath in the world an end
"Well then , goodbye .",Fare thee well .
Is his army approaching ?,Comes his army on ?
Who are you ?,Who's there ?
"The duke will drink under this tree. , He's been looking for you all day , you know .","Well , I'll end the song. , Sirs , cover the while ; the duke will drink under this tree. , He hath been all this day to look you ."
I'm sure the duke will never allow this contract to be enforced .,I am sure the duke Will never grant this forfeiture to hold .
"Yes , that's the one .","Ay , he ."
He must be possessed by the devil .,"He is sure possessed , madam ."
Caesar is upset .,Caesar is touched .
Claim fair England's peace depends on this alliance .,Infer fair England's peace by this alliance .
"Will you take me , my lady ?","Will you have me , lady ?"
